id,first_name,last_name,gender,part_time_job,absence_days,extracurricular_activities,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,class,average_score,academic_performance,over_absence_days,final_academic_performance,major_group
19,Jonathan,Werner,male,FALSE,1,FALSE,Doctor,92,87,92,99,97,87,86,A,92.3,excellent,No,excellent,healthcare
20,Angela,Rios,female,FALSE,2,FALSE,Software Engineer,99,65,98,75,66,72,100,B,81.5,excellent,No,excellent,computer science
21,Tim,Nichols,male,TRUE,3,FALSE,Software Engineer,100,90,72,98,73,97,72,C,86.1,excellent,No,excellent,computer science
22,Kyle,Willis,male,FALSE,8,FALSE,Business Owner,57,55,78,94,83,88,88,A,77.2,good,Yes,average,economics
23,Shannon,Simpson,female,FALSE,9,FALSE,Business Owner,89,72,68,72,71,54,90,C,73.2,good,Yes,average,economics
24,Sean,Griffin,male,FALSE,9,FALSE,Business Owner,50,76,81,55,56,80,79,B,63.8,average,Yes,below average,economics
25,Cassandra,West,female,FALSE,4,FALSE,Software Engineer,87,91,90,88,95,88,93,B,90.2,excellent,No,excellent,computer science
26,Patricia,Chavez,female,FALSE,5,FALSE,Doctor,92,86,87,81,93,90,99,B,89.4,excellent,Yes,good,healthcare
27,Jason,Williams,male,FALSE,3,FALSE,Banker,100,77,80,94,63,90,90,A,86.8,good,No,good,economics
28,Peter,Gibbs,male,FALSE,0,FALSE,Writer,64,75,93,79,81,96,85,C,82.9,good,No,good,journalism
29,Jeffrey,Blanchard,male,FALSE,1,TRUE,Accountant,79,65,99,71,76,77,83,C,77.5,good,No,good,economics
30,Carol,Hill,female,FALSE,3,FALSE,Accountant,82,100,61,97,30,74,73,A1,73.4,below average,No,below average,economics
31,Angie,Miller,female,FALSE,0,FALSE,Software Engineer,88,69,87,100,88,85,72,A1,84.9,excellent,No,excellent,computer science
32,Cynthia,Knapp,female,FALSE,4,FALSE,Designer,70,68,92,74,82,85,72,B,76.9,good,No,good,art
33,Timothy,Bryant,male,FALSE,4,FALSE,Accountant,77,96,98,89,85,62,62,A1,80.6,good,No,good,economics
34,Phyllis,Diaz,female,FALSE,1,FALSE,Banker,99,84,84,78,78,77,68,A,82.9,excellent,No,excellent,economics
35,Lisa,Burns,female,FALSE,3,TRUE,Unknown,90,93,91,80,86,69,62,B,82.7,good,No,good,unknown
36,Kelly,Farley,female,FALSE,1,FALSE,Unknown,65,70,78,98,80,66,65,C,72.3,good,No,good,unknown
37,Ryan,Lee,male,FALSE,2,TRUE,Construction Engineer,99,94,87,71,89,91,96,B,88.6,excellent,No,excellent,computer science
38,Michael,Gilmore,male,FALSE,1,FALSE,Construction Engineer,92,100,85,89,81,91,88,C,90.5,excellent,No,excellent,computer science
39,Miguel,Martinez,male,FALSE,4,FALSE,Banker,77,64,64,88,94,82,78,B,80.6,good,No,good,economics
40,Christopher,Taylor,male,FALSE,4,FALSE,Accountant,92,60,66,87,60,83,95,C,78.1,good,No,good,economics
41,Emily,Holloway,female,FALSE,4,FALSE,Software Engineer,85,97,64,90,79,81,81,B,83.1,good,No,good,computer science
42,Jesus,Rasmussen,male,TRUE,7,FALSE,Business Owner,65,55,66,50,88,56,86,A1,65.3,good,Yes,average,economics
43,Lauren,Farmer,female,TRUE,6,FALSE,Business Owner,93,94,92,77,87,98,63,C,85.9,good,Yes,average,economics
44,Pamela,Cole,female,FALSE,4,FALSE,Game Developer,97,99,85,96,91,68,66,C,83.5,excellent,No,excellent,computer science
45,David,Gillespie,male,TRUE,4,FALSE,Business Owner,54,99,79,57,53,95,83,B,68.4,good,No,good,economics
46,Kenneth,Davis,male,TRUE,5,TRUE,Business Owner,88,53,50,58,84,53,96,A,67.8,good,Yes,average,economics
47,Elizabeth,Martin,female,FALSE,5,TRUE,Lawyer,71,85,93,68,100,91,87,C,85.8,excellent,Yes,good,law
48,Billy,Soto,male,FALSE,0,TRUE,Stock Investor,81,98,74,70,97,65,65,B,79.8,good,No,good,economics
49,Kimberly,Kelly,female,FALSE,4,FALSE,Unknown,80,78,86,80,64,68,100,A,80.2,good,No,good,unknown
50,Sonia,Noble,female,FALSE,0,FALSE,Accountant,100,89,90,93,30,83,74,A,84.2,below average,No,below average,economics
51,Christopher,Stewart,male,FALSE,6,TRUE,Stock Investor,76,72,96,65,89,87,94,C,83.2,excellent,Yes,good,economics
52,Sandra,Thornton,female,FALSE,2,FALSE,Lawyer,99,81,73,70,85,86,61,B,80.9,good,No,good,law
53,Luke,Shannon,male,FALSE,9,FALSE,Business Owner,64,70,61,81,82,51,70,B,70.6,average,Yes,below average,economics
54,Lindsay,Pruitt,female,FALSE,3,FALSE,Banker,90,96,86,61,89,98,68,A,82.5,good,No,good,economics
55,Jamie,Taylor,male,FALSE,2,FALSE,Game Developer,85,100,92,68,60,77,83,B,77.8,good,No,good,computer science
56,Jennifer,Murphy,female,FALSE,6,FALSE,Software Engineer,91,60,84,88,76,71,99,C,79.9,good,Yes,average,computer science
57,Melissa,Lee,female,FALSE,3,FALSE,Unknown,95,72,79,86,87,81,62,A,82.2,good,No,good,unknown
58,David,Vaughn,male,TRUE,2,FALSE,Banker,94,78,73,97,67,78,99,A1,83.1,excellent,No,excellent,economics
59,Jacob,Hanson,male,FALSE,7,FALSE,Software Engineer,94,89,64,96,91,95,77,A1,85.9,good,Yes,average,computer science
60,Casey,May,male,FALSE,4,FALSE,Software Engineer,89,99,90,79,85,96,98,B,88.9,excellent,No,excellent,computer science
61,Michelle,Roman,female,FALSE,2,FALSE,Game Developer,91,81,88,71,78,83,76,A,81.8,excellent,No,excellent,computer science
62,Brittany,Koch,female,FALSE,5,FALSE,Lawyer,83,86,61,99,99,88,73,C,83.6,good,Yes,average,law
63,Brian,Lewis,male,FALSE,7,FALSE,Business Owner,98,65,53,64,52,96,62,B,70.4,good,Yes,average,economics
64,Veronica,Cameron,female,FALSE,1,FALSE,Banker,83,97,65,88,67,95,69,B,80.2,excellent,No,excellent,economics
65,Eric,Reyes,male,FALSE,2,FALSE,Construction Engineer,91,73,99,70,63,80,78,C,78.5,good,No,good,computer science
66,Kristy,Weber,female,TRUE,6,FALSE,Business Owner,90,54,77,74,76,96,88,C,79.3,good,Yes,average,economics
67,Anthony,Smith,male,FALSE,3,FALSE,Software Engineer,92,86,66,69,100,71,80,A,79.1,good,No,good,computer science
68,Steven,Stephens,male,FALSE,2,FALSE,Real Estate Developer,64,64,73,76,72,97,91,A,75,good,No,good,economics
69,Henry,Davis,male,FALSE,4,FALSE,Software Engineer,90,70,85,60,81,71,88,C,77.4,good,No,good,computer science
70,Raymond,Shea,male,FALSE,10,TRUE,Banker,99,81,96,69,91,87,83,B,86.5,excellent,Yes,good,economics
71,Jill,Perez,female,FALSE,1,FALSE,Designer,89,66,93,81,86,88,70,B,82.9,excellent,No,excellent,art
72,Kimberly,Bonilla,female,TRUE,3,FALSE,Writer,62,87,93,83,93,97,73,A1,84,good,No,good,journalism
73,Louis,Edwards,male,TRUE,10,FALSE,Business Owner,61,70,69,64,59,78,80,C,70.9,good,Yes,average,economics
74,Michael,Hodge,male,TRUE,8,FALSE,Business Owner,51,54,66,87,99,58,68,A,68.7,average,Yes,below average,economics
75,Anna,Li,female,FALSE,2,FALSE,Software Engineer,85,100,64,68,73,81,87,A,77.5,good,No,good,computer science
76,Andrea,Case,female,FALSE,7,TRUE,Software Engineer,99,90,96,92,100,98,77,A,93.9,excellent,Yes,good,computer science
77,Jennifer,Garcia,female,FALSE,3,FALSE,Software Engineer,87,63,60,90,89,99,80,B,83.4,good,No,good,computer science
78,Rhonda,Davenport,female,FALSE,1,TRUE,Unknown,75,91,80,93,74,93,65,C,82,excellent,No,excellent,unknown
79,Chelsea,Craig,female,FALSE,7,FALSE,Unknown,88,94,80,63,68,77,64,A,76.5,good,Yes,average,unknown
80,Shawn,Chase,male,FALSE,3,FALSE,Software Engineer,87,79,89,68,93,75,92,A1,83.4,excellent,No,excellent,computer science
81,Elizabeth,Calhoun,female,TRUE,3,FALSE,Business Owner,87,67,94,92,62,58,65,C,71.5,good,No,good,economics
82,Lisa,Harris,female,FALSE,1,FALSE,Stock Investor,76,67,83,85,91,61,67,B,78.2,good,No,good,economics
83,Carol,Snyder,female,FALSE,7,FALSE,Government Officer,60,80,61,63,95,92,75,A1,73.9,good,Yes,average,politology
84,Charles,Butler,male,FALSE,7,FALSE,Scientist,85,65,99,100,88,93,72,C,83.2,excellent,Yes,good,science researching
85,James,Dawson,male,FALSE,3,FALSE,Unknown,73,67,70,71,65,73,87,A1,72.2,good,No,good,unknown
86,Dennis,Kim,male,FALSE,1,FALSE,Software Engineer,85,71,69,80,70,77,66,A1,74.9,good,No,good,computer science
87,Jennifer,Berry,female,FALSE,2,FALSE,Government Officer,91,76,71,72,92,67,90,A1,78.8,good,No,good,politology
88,Yvette,Bridges,female,FALSE,3,TRUE,Software Engineer,99,95,83,89,81,63,70,A1,82.5,good,No,good,computer science
89,Robert,Atkins,male,FALSE,3,FALSE,Stock Investor,93,96,68,87,69,89,100,A,85,excellent,No,excellent,economics
90,William,Brown,male,FALSE,3,FALSE,Software Engineer,89,75,60,80,62,85,73,C,75.7,good,No,good,computer science
91,Patrick,Parker,male,FALSE,0,FALSE,Accountant,95,78,95,73,32,65,68,A1,76.1,below average,No,below average,economics
92,James,Santiago,male,FALSE,4,FALSE,Government Officer,68,82,95,63,62,98,93,C,83.4,good,No,good,politology
93,Robert,Parsons,male,FALSE,5,FALSE,Software Engineer,98,73,73,77,87,98,83,A,83.7,excellent,Yes,good,computer science
94,Jacob,Brown,male,FALSE,4,FALSE,Stock Investor,79,92,79,76,84,67,86,C,80.8,good,No,good,economics
95,Natalie,Robinson,female,FALSE,5,FALSE,Unknown,78,79,73,96,64,93,85,C,82.5,good,Yes,average,unknown
96,Victoria,Jones,female,FALSE,2,TRUE,Software Engineer,100,98,89,85,81,64,94,A1,86.4,good,No,good,computer science
97,Natasha,Hansen,female,FALSE,3,TRUE,Artist,86,76,84,93,76,69,91,A1,81.4,excellent,No,excellent,art
98,Thomas,White,male,FALSE,3,FALSE,Real Estate Developer,87,89,93,98,79,72,88,A,88.4,excellent,No,excellent,economics
99,Derrick,Figueroa,male,TRUE,0,FALSE,Lawyer,100,93,85,61,96,83,86,B,86.1,good,No,good,law
100,Kimberly,Ward,female,FALSE,0,FALSE,Game Developer,85,89,94,69,99,93,98,A1,89.9,excellent,No,excellent,computer science
101,Rhonda,Jones,female,FALSE,2,FALSE,Artist,87,73,98,91,79,60,77,A,84.1,good,No,good,art
102,Abigail,Perez,female,FALSE,2,FALSE,Software Engineer,96,80,100,61,81,98,65,A,83.8,good,No,good,computer science
103,James,Yang,male,FALSE,5,FALSE,Writer,76,87,64,74,73,90,99,A,77.7,good,Yes,average,journalism
104,Stephen,Patton,male,TRUE,6,FALSE,Artist,90,80,63,94,64,70,79,A,78.7,good,Yes,average,art
105,Emma,Wright,female,FALSE,7,FALSE,Business Owner,65,60,100,91,87,78,99,A1,82.3,good,Yes,average,economics
106,Cynthia,Brown,female,FALSE,2,FALSE,Real Estate Developer,98,97,62,89,62,95,77,B,82.9,good,No,good,economics
107,Erin,Kelley,female,FALSE,3,FALSE,Accountant,91,80,97,89,94,95,84,A,90.7,excellent,No,excellent,economics
108,Benjamin,Morse,male,FALSE,3,TRUE,Scientist,86,81,83,81,81,77,86,B,82.3,excellent,No,excellent,science researching
109,Alexandra,Gibson,female,FALSE,1,FALSE,Unknown,91,93,72,61,61,87,95,C,83.5,good,No,good,unknown
110,Phillip,Allen,male,FALSE,5,TRUE,Accountant,78,69,82,60,64,77,82,C,74,good,Yes,average,economics
111,Joshua,Gonzalez,male,FALSE,4,FALSE,Stock Investor,76,89,89,83,89,90,64,A,82.8,good,No,good,economics
112,Erin,Jones,female,TRUE,9,FALSE,Business Owner,82,54,85,57,50,54,76,A1,67.9,good,Yes,average,economics
113,Charles,Hayes,male,TRUE,2,TRUE,Business Owner,45,85,94,76,57,93,86,A,75.1,average,No,average,economics
114,Kelsey,Brown,female,FALSE,1,FALSE,Banker,92,75,65,97,61,76,81,B,79.7,good,No,good,economics
115,Robert,Turner,male,FALSE,6,TRUE,Business Owner,43,65,91,75,64,94,100,B,71.4,average,Yes,below average,economics
116,Robert,Hill,male,FALSE,2,FALSE,Unknown,96,66,69,65,72,84,77,A,75.9,good,No,good,unknown
117,Alyssa,Ritter,female,FALSE,6,FALSE,Business Owner,78,71,50,55,54,97,95,C,76.3,good,Yes,average,economics
118,Beth,Bell,female,FALSE,1,FALSE,Unknown,68,96,64,70,74,63,75,C,74.4,good,No,good,unknown
119,Andrew,Dixon,male,FALSE,1,TRUE,Software Engineer,93,73,94,65,60,63,93,B,75.9,good,No,good,computer science
120,Crystal,Walker,female,FALSE,6,FALSE,Business Owner,55,93,67,74,55,60,64,C,68.5,average,Yes,below average,economics
121,Jordan,Bennett,female,TRUE,0,FALSE,Teacher,66,90,83,80,76,90,91,B,79.8,good,No,good,teaching
122,Antonio,Caldwell,male,FALSE,4,FALSE,Doctor,98,92,91,99,97,88,75,B,93.4,excellent,No,excellent,healthcare
123,Jacob,Reyes,male,FALSE,4,FALSE,Doctor,94,94,94,89,85,86,85,A,90.4,excellent,No,excellent,healthcare
124,Wendy,Lewis,female,FALSE,3,FALSE,Doctor,96,100,96,91,91,96,89,A,94.2,excellent,No,excellent,healthcare
125,Jennifer,Miller,female,FALSE,2,FALSE,Unknown,69,62,82,89,81,72,71,C,73.1,good,No,good,unknown
126,Lisa,Ware,female,FALSE,4,FALSE,Unknown,77,95,98,69,60,89,71,A,80.3,good,No,good,unknown
127,Brian,Lee,male,FALSE,1,FALSE,Game Developer,89,67,86,87,87,68,78,C,77.5,good,No,good,computer science
128,Mario,Taylor,male,FALSE,4,TRUE,Accountant,96,67,80,83,86,77,75,A1,81.7,excellent,No,excellent,economics
129,Amanda,Williamson,female,FALSE,4,FALSE,Unknown,82,70,80,70,96,69,86,B,80.1,excellent,No,excellent,unknown
130,Michael,Miller,male,FALSE,6,TRUE,Unknown,99,97,64,90,87,68,69,A,82.7,good,Yes,average,unknown
131,Amanda,Vasquez,female,TRUE,5,FALSE,Stock Investor,96,73,90,85,63,84,87,C,82.2,good,Yes,average,economics
132,Chelsea,Obrien,female,TRUE,4,FALSE,Banker,95,82,66,63,67,92,69,A1,78.7,good,No,good,economics
133,Tina,Perkins,female,FALSE,4,FALSE,Software Engineer,90,63,69,80,99,69,79,A,78.8,good,No,good,computer science
134,Cory,Perez,male,TRUE,6,FALSE,Business Owner,88,52,53,56,85,93,78,C,72.8,good,Yes,average,economics
135,Christopher,Jenkins,male,FALSE,1,FALSE,Designer,87,62,87,96,85,90,74,A,85.1,good,No,good,art
136,Joanne,Campos,female,FALSE,2,FALSE,Designer,62,83,84,75,83,85,86,A,77.9,good,No,good,art
137,David,Patel,male,FALSE,2,FALSE,Banker,85,65,60,78,81,96,76,B,78.5,good,No,good,economics
138,Michelle,Hill,female,FALSE,1,TRUE,Banker,79,97,76,67,61,90,95,C,84.7,good,No,good,economics
139,Jessica,Boyd,female,FALSE,4,FALSE,Software Engineer,90,94,98,96,68,82,81,B,86.3,excellent,No,excellent,computer science
140,Lawrence,Russell,male,FALSE,2,FALSE,Doctor,97,71,82,80,97,93,78,A1,87,excellent,No,excellent,healthcare
141,James,Singh,male,FALSE,0,FALSE,Software Engineer,88,69,87,81,77,67,93,B,80.8,excellent,No,excellent,computer science
142,Marc,Villanueva,male,TRUE,2,TRUE,Artist,71,85,77,89,98,63,100,A,82,good,No,good,art
143,Cathy,Wilson,female,FALSE,1,FALSE,Lawyer,70,99,79,96,60,97,100,B,82.7,good,No,good,law
144,Adam,Mitchell,male,FALSE,3,TRUE,Software Engineer,93,68,76,99,80,80,75,C,79.4,good,No,good,computer science
145,Sherry,Phillips,female,FALSE,0,FALSE,Game Developer,92,79,81,61,86,72,88,C,79.8,good,No,good,computer science
146,Victor,Jones,male,FALSE,3,FALSE,Real Estate Developer,83,72,68,94,100,98,92,C,86.9,excellent,No,excellent,economics
147,Mark,Young,male,FALSE,8,FALSE,Business Owner,68,97,51,93,68,58,78,C,74.6,good,Yes,average,economics
148,Matthew,Jackson,male,FALSE,0,FALSE,Lawyer,92,90,65,79,96,87,74,C,83.4,excellent,No,excellent,law
149,Tanya,Nichols,female,FALSE,4,TRUE,Unknown,69,91,82,99,94,75,74,A1,81,good,No,good,unknown
150,Julie,Gray,female,TRUE,5,FALSE,Business Owner,76,72,72,65,82,71,93,A1,75,good,Yes,average,economics
151,Courtney,Perry,female,FALSE,3,FALSE,Unknown,86,92,79,73,73,61,60,A1,75,good,No,good,unknown
152,Stephen,Rodriguez,male,TRUE,10,FALSE,Business Owner,41,57,97,56,50,98,83,A,67.6,average,Yes,below average,economics
153,Elizabeth,Robinson,female,FALSE,5,FALSE,Unknown,91,100,84,72,84,90,82,C,87.5,excellent,Yes,good,unknown
154,William,Graves,male,FALSE,0,FALSE,Real Estate Developer,78,67,82,70,65,68,81,C,72.7,good,No,good,economics
155,Nancy,Moore,female,FALSE,1,FALSE,Software Engineer,89,73,85,84,73,81,98,A1,83.8,excellent,No,excellent,computer science
156,Matthew,Newman,male,FALSE,0,TRUE,Unknown,96,71,88,74,80,92,65,B,81.6,excellent,No,excellent,unknown
157,Anita,Moore,female,FALSE,0,TRUE,Unknown,66,99,85,90,76,64,95,C,83.3,good,No,good,unknown
158,Brian,Sanchez,male,TRUE,8,FALSE,Business Owner,97,54,62,66,58,69,96,B,72.3,good,Yes,average,economics
159,Dennis,Phillips,male,TRUE,7,TRUE,Business Owner,49,64,97,61,62,72,65,A,67.7,average,Yes,below average,economics
160,Michael,Rivas,male,TRUE,4,TRUE,Unknown,88,66,96,82,65,76,79,C,77.3,good,No,good,unknown
161,Ryan,Smith,male,FALSE,1,FALSE,Unknown,92,64,77,61,76,72,87,C,75.2,good,No,good,unknown
162,Anthony,Sullivan,male,TRUE,3,FALSE,Construction Engineer,96,66,92,88,65,76,72,B,80.4,excellent,No,excellent,computer science
163,Troy,Shepherd,male,FALSE,4,FALSE,Construction Engineer,86,88,99,79,93,97,91,A,89.7,excellent,No,excellent,computer science
164,Nicholas,Clayton,male,FALSE,1,TRUE,Doctor,86,100,100,96,95,97,93,A,94.9,excellent,No,excellent,healthcare
165,Denise,Schneider,female,FALSE,1,FALSE,Teacher,88,72,96,60,90,80,88,B,81.2,good,No,good,teaching
166,Lisa,Silva,female,FALSE,2,FALSE,Game Developer,92,81,99,98,77,80,73,B,86.7,excellent,No,excellent,computer science
167,Laura,Reilly,female,TRUE,7,FALSE,Business Owner,87,76,71,65,64,81,61,C,72.3,good,Yes,average,economics
168,Amy,Peterson,female,FALSE,5,FALSE,Unknown,89,94,67,68,69,92,76,B,78.1,good,Yes,average,unknown
169,Fernando,Sexton,male,FALSE,1,FALSE,Unknown,97,96,66,96,71,97,66,A1,84.9,excellent,No,excellent,unknown
170,Evan,Christian,male,FALSE,4,TRUE,Software Engineer,100,62,67,97,73,84,99,A1,83.3,good,No,good,computer science
171,Rebecca,Norris,female,FALSE,1,FALSE,Lawyer,91,98,76,99,65,98,71,A1,86.3,excellent,No,excellent,law
172,Erica,Marks,female,FALSE,4,FALSE,Stock Investor,81,87,65,85,74,64,81,B,77.7,good,No,good,economics
173,Rhonda,Webster,female,FALSE,5,TRUE,Accountant,82,66,89,76,68,83,79,B,76.9,good,Yes,average,economics
174,John,Bennett,male,FALSE,1,FALSE,Lawyer,100,96,75,68,77,97,81,B,83.9,excellent,No,excellent,law
175,Amanda,Murphy,female,FALSE,10,TRUE,Business Owner,65,100,80,83,57,81,81,B,75.2,good,Yes,average,economics
176,Jeremy,Barnes,male,FALSE,2,FALSE,Unknown,68,100,89,75,84,78,90,A1,81.9,good,No,good,unknown
177,John,Brown,male,FALSE,3,FALSE,Accountant,97,92,95,75,95,90,83,A1,90.9,excellent,No,excellent,economics
178,Traci,Boyd,female,FALSE,3,FALSE,Banker,76,94,77,88,85,91,61,B,82.1,good,No,good,economics
179,Elizabeth,Butler,female,FALSE,5,FALSE,Software Engineer,91,99,94,94,95,98,89,A,93.9,excellent,Yes,good,computer science
180,Alex,Clark,male,FALSE,4,FALSE,Construction Engineer,85,73,89,73,97,66,79,B,81.7,excellent,No,excellent,computer science
181,Christopher,Wolfe,male,FALSE,2,TRUE,Unknown,68,69,86,87,72,80,93,B,78.2,good,No,good,unknown
182,Jason,Bell,male,FALSE,1,FALSE,Lawyer,73,99,75,70,100,86,62,A1,79.9,good,No,good,law
183,Victoria,Donaldson,female,FALSE,3,TRUE,Unknown,65,90,75,96,91,93,85,A,83.1,excellent,No,excellent,unknown
184,Logan,Cox,male,FALSE,8,TRUE,Business Owner,46,79,75,86,91,88,77,A1,75.1,average,Yes,below average,economics
185,Rachel,Hill,female,FALSE,1,FALSE,Software Engineer,92,84,85,77,81,69,95,C,83.1,excellent,No,excellent,computer science
186,Jenny,Lloyd,female,FALSE,3,FALSE,Artist,69,78,69,70,100,88,85,B,79.8,good,No,good,art
187,Joan,Cohen,female,FALSE,5,TRUE,Real Estate Developer,78,99,64,99,65,84,80,A1,79.5,good,Yes,average,economics
188,Kimberly,Lopez,female,TRUE,2,TRUE,Business Owner,92,62,86,97,54,76,76,C,75.7,good,No,good,economics
189,Steven,Walker,male,FALSE,5,FALSE,Unknown,70,77,91,96,100,89,67,A,84.7,excellent,Yes,good,unknown
190,Sonia,Bowers,female,FALSE,5,FALSE,Scientist,95,79,98,95,89,99,87,B,92.1,excellent,Yes,good,science researching
191,Penny,Perez,female,FALSE,7,FALSE,Game Developer,99,82,93,83,92,90,60,C,83.1,good,Yes,average,computer science
192,Mike,Harris,male,FALSE,1,TRUE,Software Engineer,96,66,79,80,88,61,85,A,81,good,No,good,computer science
193,Vanessa,Sweeney,female,FALSE,2,FALSE,Game Developer,85,90,85,74,96,71,80,B,83.6,excellent,No,excellent,computer science
194,Adam,Edwards,male,FALSE,5,FALSE,Stock Investor,91,94,82,100,68,66,69,C,79.9,good,Yes,average,economics
195,Angelica,Johnson,female,FALSE,2,FALSE,Scientist,85,64,93,80,82,70,94,A1,81.6,good,No,good,science researching
196,Tiffany,Hernandez,female,FALSE,3,FALSE,Stock Investor,94,73,61,68,65,85,67,A,73.6,good,No,good,economics
197,Mark,Myers,male,FALSE,4,FALSE,Software Engineer,95,69,62,87,84,83,64,A,78.8,good,No,good,computer science
198,Erica,Cochran,female,FALSE,2,FALSE,Teacher,69,90,83,70,83,91,67,B,77.5,good,No,good,teaching
199,Karen,Watson,female,FALSE,1,FALSE,Software Engineer,95,72,94,96,91,61,94,A,88.8,good,No,good,computer science
200,Kathryn,Frazier,female,FALSE,3,FALSE,Lawyer,94,88,65,88,60,81,78,C,80.1,good,No,good,law
201,Anthony,Jackson,male,FALSE,1,TRUE,Accountant,82,81,100,81,60,79,96,A1,84,good,No,good,economics
202,Jordan,Perez,male,FALSE,6,TRUE,Software Engineer,99,73,91,91,93,80,100,A1,89.7,excellent,Yes,good,computer science
203,Jennifer,Burgess,female,FALSE,3,FALSE,Accountant,85,62,84,80,37,80,71,A1,74.8,average,No,average,economics
204,Christina,Davis,female,FALSE,1,TRUE,Accountant,100,87,60,92,46,67,96,B,78.6,average,No,average,economics
205,April,Ryan,female,FALSE,1,FALSE,Artist,98,95,90,81,82,86,98,C,90.9,excellent,No,excellent,art
206,Maxwell,Davis,male,FALSE,3,FALSE,Software Engineer,97,78,81,67,90,95,79,B,84.1,excellent,No,excellent,computer science
207,Matthew,Guzman,male,FALSE,5,FALSE,Unknown,99,86,68,94,97,77,92,A,87.4,excellent,Yes,good,unknown
208,Robert,Mayer,male,FALSE,3,TRUE,Accountant,99,73,77,74,62,68,99,B,78.7,good,No,good,economics
209,Amanda,Willis,female,FALSE,2,FALSE,Banker,75,83,70,71,86,95,76,A,77.2,good,No,good,economics
210,Michele,Thomas,female,FALSE,1,TRUE,Teacher,63,80,99,78,60,84,86,B,75.1,good,No,good,teaching
211,Tim,Turner,male,FALSE,0,FALSE,Doctor,96,88,90,100,94,87,96,B,94.1,excellent,No,excellent,healthcare
212,Joe,Strickland,male,FALSE,4,FALSE,Construction Engineer,91,73,86,73,84,60,71,A,78.8,good,No,good,computer science
213,Trevor,Cruz,male,TRUE,1,FALSE,Business Owner,52,58,60,97,93,89,68,C,73.2,good,No,good,economics
214,Melissa,Roberts,female,FALSE,1,FALSE,Doctor,99,71,80,82,95,64,64,B,83.1,good,No,good,healthcare
215,Tammy,Miller,female,FALSE,3,FALSE,Banker,84,62,92,74,73,98,91,A,82.4,good,No,good,economics
216,Chad,Morgan,male,FALSE,2,FALSE,Artist,100,90,82,79,94,83,78,B,87.9,excellent,No,excellent,art
217,Samantha,Maldonado,female,FALSE,4,FALSE,Banker,82,71,93,90,90,76,97,B,86.1,excellent,No,excellent,economics
218,Marie,Martin,female,FALSE,5,FALSE,Banker,75,88,65,80,76,94,97,A1,80.9,excellent,Yes,good,economics
219,Theresa,Tucker,female,TRUE,1,FALSE,Unknown,66,71,94,72,96,70,63,A,76.4,good,No,good,unknown
220,Joseph,Morris,male,FALSE,6,TRUE,Banker,99,88,72,76,68,92,72,A1,83,excellent,Yes,good,economics
221,Charles,Parker,male,FALSE,3,FALSE,Real Estate Developer,99,76,94,88,75,66,84,C,80.8,excellent,No,excellent,economics
